date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:20:06	30321/30321	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2012:50:02%20GMT	http://kamleshyadav.com/html/portfolio/black_version/index.html	kamleshyadav.com/html/portfolio/black_version/index.html	(from )
18:20:07	69/69	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Sun,%2005%20Apr%202020%2012:50:03%20GMT	http://kamleshyadav.com/robots.txt		(from )
18:20:07	23848/23848	---MCZ	200	added ('OK')	text/css	date:Sun,%2005%20Apr%202020%2012:50:04%20GMT	http://kamleshyadav.com/html/portfolio/black_version/css/animate.css	kamleshyadav.com/html/portfolio/black_version/css/animate.css	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:08	11418/11418	---M-Z	200	added ('OK')	text/css	date:Sun,%2005%20Apr%202020%2012:50:05%20GMT	http://kamleshyadav.com/html/portfolio/black_version/css/fonts.css	kamleshyadav.com/html/portfolio/black_version/css/fonts.css	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:10	121200/121200	---MCZ	200	added ('OK')	text/css	date:Sun,%2005%20Apr%202020%2012:50:06%20GMT	http://kamleshyadav.com/html/portfolio/black_version/css/bootstrap.css	kamleshyadav.com/html/portfolio/black_version/css/bootstrap.css	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:11	31000/31000	---MCZ	200	added ('OK')	text/css	date:Sun,%2005%20Apr%202020%2012:50:07%20GMT	http://kamleshyadav.com/html/portfolio/black_version/css/font-awesome.css	kamleshyadav.com/html/portfolio/black_version/css/font-awesome.css	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:11	6951/6951	---MCZ	200	added ('OK')	text/css	date:Sun,%2005%20Apr%202020%2012:50:08%20GMT	http://kamleshyadav.com/html/portfolio/black_version/css/magnific-popup.css	kamleshyadav.com/html/portfolio/black_version/css/magnific-popup.css	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:12	2936/2936	---MCZ	200	added ('OK')	text/css	date:Sun,%2005%20Apr%202020%2012:50:09%20GMT	http://kamleshyadav.com/html/portfolio/black_version/css/owl.carousel.min.css	kamleshyadav.com/html/portfolio/black_version/css/owl.carousel.min.css	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:13	936/936	---M-Z	200	added ('OK')	text/css	date:Sun,%2005%20Apr%202020%2012:50:10%20GMT	http://kamleshyadav.com/html/portfolio/black_version/css/owl.theme.default.min.css	kamleshyadav.com/html/portfolio/black_version/css/owl.theme.default.min.css	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:14	36149/36149	---MCZ	200	added ('OK')	text/css	date:Sun,%2005%20Apr%202020%2012:50:11%20GMT	http://kamleshyadav.com/html/portfolio/black_version/css/style.css	kamleshyadav.com/html/portfolio/black_version/css/style.css	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
